name,start,end,type,fmt
DADLOOF1,1755,1756,d,N2.
DADAGNF1,1757,1758,d,N2.
DADEMPF1,1759,1760,d,N2.
DADREF1,1761,1762,d,N2.
DADANSAF1,1763,1764,d,N2.
DADENROF1,1765,1766,d,N2.
FOINTHF,1767,1768,d,N2.
HWELFTAF,1769,1770,d,N2.
HWELFSF,1771,1772,d,N2.
HWIF,1773,1774,d,N2.
HFOODSF,1775,1776,d,N2.
HMEDICAF,1777,1778,d,N2.
HCHIF,1779,1780,d,N2.
HSECF8,1781,1782,d,N2.
H3YRMOVF,1783,1784,d,N2.
HINCMRNF,1785,1786,d,N2.
HINCM50F,1787,1788,d,N2.
HINCOMF,1789,1790,d,N2.
